plant_nb	genotype	background	temperature	fluctuation	day.length	vernalization	survival.bolt	bolt	days.to.bolt	days.to.flower	rosette.leaf.num	cauline.leaf.num	blade.length.mm	total.leaf.length.mm	blade.ratio
7	Col Ama	Col	22	Var	16	NV	Y	Y	22	28	10	2	NA	NA	NA
8	Col Ama	Col	22	Var	16	NV	Y	Y	24	29	9	3	17.4	30.9	0.563106796
1	Col Ama	Col	22	Var	8	NV	Y	Y	50	58	32	8	NA	NA	NA
2	Col Ama	Col	22	Var	8	NV	Y	Y	51	60	32	9	NA	NA	NA
3	Col Ama	Col	22	Var	8	NV	Y	Y	53	61	26	5	NA	NA	NA
4	Col Ama	Col	22	Var	8	NV	Y	Y	58	66	42	10	NA	NA	NA
5	Col Ama	Col	22	Var	8	NV	Y	Y	62	69	43	8	29	54.7	0.530164534
6	Col Ama	Col	22	Var	8	NV	Y	Y	64	71	38	8	29.7	52.5	0.565714286
7	Col Ama	Col	22	Var	8	NV	Y	Y	72	80	46	6	31	62.2	0.498392283
8	Col Ama	Col	22	Var	8	NV	Y	Y	72	80	48	7	31.8	57.2	0.555944056
1	Col Ama	Col	12	Con	16	V	Y	Y	24	37	17	5	13.6	22.1	0.615384615
2	Col Ama	Col	12	Con	16	V	Y	Y	25	38	19	7	16.8	26.8	0.626865672
3	Col Ama	Col	12	Con	16	V	Y	Y	25	38	18	6	18.6	27.9	0.666666667
4	Col Ama	Col	12	Con	16	V	Y	Y	26	40	14	5	12.2	22.8	0.535087719
5	Col Ama	Col	12	Con	16	V	Y	Y	26	39	19	7	16	24.9	0.642570281
6	Col Ama	Col	12	Con	16	V	Y	Y	27	41	15	4	12.9	22.2	0.581081081
7	Col Ama	Col	12	Con	16	V	Y	Y	28	41	15	4	14.4	24.1	0.597510373
8	Col Ama	Col	12	Con	16	V	Y	Y	29	43	15	5	12.6	21.4	0.588785047
1	Col Ama	Col	12	Con	8	V	Y	Y	56	75	46	8	17.4	36	0.483333333
2	Col Ama	Col	12	Con	8	V	Y	Y	59	78	50	11	19.1	29.9	0.638795987
3	Col Ama	Col	12	Con	8	V	Y	Y	59	78	44	10	12.9	32.7	0.394495413
4	Col Ama	Col	12	Con	8	V	Y	Y	61	81	47	10	19.2	35	0.548571429
5	Col Ama	Col	12	Con	8	V	Y	Y	68	90	44	10	20.5	37.6	0.545212766
6	Col Ama	Col	12	Con	8	V	Y	Y	68	90	45	9	23.9	38.1	0.627296588
7	Col Ama	Col	12	Con	8	V	Y	Y	74	94	35	9	32.9	50.5	0.651485149
8	Col Ama	Col	12	Con	8	V	Y	Y	76	96	45	9	20.8	32.5	0.64
1	Col Ama	Col	12	Var	16	V	Y	Y	26	38	17	5	13.3	22.7	0.585903084
2	Col Ama	Col	12	Var	16	V	Y	Y	26	38	16	4	13.4	22	0.609090909
3	Col Ama	Col	12	Var	16	V	Y	Y	26	39	14	4	12.2	20.8	0.586538462
4	Col Ama	Col	12	Var	16	V	Y	Y	27	40	17	6	13.8	22.7	0.607929515
5	Col Ama	Col	12	Var	16	V	Y	Y	27	39	16	4	13.7	24.1	0.56846473
6	Col Ama	Col	12	Var	16	V	Y	Y	27	41	19	7	15.4	27.7	0.555956679
7	Col Ama	Col	12	Var	16	V	Y	Y	28	41	19	7	15.7	25.6	0.61328125
8	Col Ama	Col	12	Var	16	V	Y	Y	31	43	20	6	19	34.5	0.550724638
1	Col Ama	Col	12	Var	8	V	Y	Y	57	75	43	11	25.6	46.7	0.548179872
2	Col Ama	Col	12	Var	8	V	Y	Y	59	77	39	11	19.7	32.8	0.600609756
3	Col Ama	Col	12	Var	8	V	Y	Y	61	81	44	12	22.8	36.2	0.629834254
4	Col Ama	Col	12	Var	8	V	Y	Y	62	82	47	11	27.7	43.6	0.635321101
5	Col Ama	Col	12	Var	8	V	Y	Y	64	81	41	11	22.9	36.7	0.623978202
6	Col Ama	Col	12	Var	8	V	Y	Y	65	88	45	10	26	43.2	0.601851852
7	Col Ama	Col	12	Var	8	V	Y	Y	69	91	44	10	24.6	39.1	0.62915601
8	Col Ama	Col	12	Var	8	V	Y	Y	69	91	44	10	22.1	36.8	0.600543478
1	Col Ama	Col	22	Con	16	V	Y	Y	15	22	12	3	NA	17.4	0
2	Col Ama	Col	22	Con	16	V	Y	Y	16	23	12	2	NA	NA	NA
3	Col Ama	Col	22	Con	16	V	Y	Y	17	22	12	3	NA	18.4	0
4	Col Ama	Col	22	Con	16	V	Y	Y	17	22	13	3	NA	20.1	0
5	Col Ama	Col	22	Con	16	V	Y	Y	17	21	10	1	NA	18.4	0
6	Col Ama	Col	22	Con	16	V	Y	Y	17	24	12	3	NA	NA	NA
7	Col Ama	Col	22	Con	16	V	Y	Y	18	25	9	2	NA	NA	NA
8	Col Ama	Col	22	Con	16	V	Y	Y	18	25	11	3	NA	NA	NA
1	Col Ama	Col	22	Con	8	V	Y	Y	45	53	39	7	NA	NA	NA
2	Col Ama	Col	22	Con	8	V	Y	Y	48	55	41	9	NA	NA	NA
3	Col Ama	Col	22	Con	8	V	Y	Y	48	53	39	8	NA	NA	NA
4	Col Ama	Col	22	Con	8	V	Y	Y	48	55	38	9	NA	NA	NA
5	Col Ama	Col	22	Con	8	V	Y	Y	49	56	42	8	NA	NA	NA
6	Col Ama	Col	22	Con	8	V	Y	Y	49	57	39	7	NA	NA	NA
7	Col Ama	Col	22	Con	8	V	Y	Y	52	59	40	9	27.2	46.6	0.583690987
8	Col Ama	Col	22	Con	8	V	Y	Y	52	59	42	9	NA	NA	NA
9	Col Ama	Col	22	Con	8	V	Y	Y	53	59	39	10	22.5	44.1	0.510204082
10	Col Ama	Col	22	Con	8	V	Y	Y	55	61	38	10	NA	NA	NA
11	Col Ama	Col	22	Con	8	V	Y	Y	58	64	42	10	25.2	47.4	0.53164557
12	Col Ama	Col	22	Con	8	V	Y	Y	60	66	45	11	27.5	51.2	0.537109375
1	Col Ama	Col	22	Var	16	V	Y	Y	17	25	10	1	NA	21.8	0
2	Col Ama	Col	22	Var	16	V	Y	Y	17	24	10	2	NA	20.5	0
3	Col Ama	Col	22	Var	16	V	Y	Y	17	25	7	3	NA	NA	NA
4	Col Ama	Col	22	Var	16	V	Y	Y	19	27	11	2	13.9	24.6	0.56504065
5	Col Ama	Col	22	Var	16	V	Y	Y	19	26	10	2	13.2	24.5	0.53877551
6	Col Ama	Col	22	Var	16	V	Y	Y	19	26	11	2	NA	NA	NA
7	Col Ama	Col	22	Var	16	V	Y	Y	19	26	12	1	NA	NA	NA
8	Col Ama	Col	22	Var	16	V	Y	Y	20	25	9	2	NA	NA	NA
1	Col Ama	Col	22	Var	8	V	Y	Y	43	50	25	5	27.2	51.8	0.525096525
2	Col Ama	Col	22	Var	8	V	Y	Y	43	51	26	7	27	51.8	0.521235521
3	Col Ama	Col	22	Var	8	V	Y	Y	43	50	31	7	NA	NA	NA
4	Col Ama	Col	22	Var	8	V	Y	Y	44	54	28	7	28.4	56	0.507142857
5	Col Ama	Col	22	Var	8	V	Y	Y	44	51	27	5	NA	NA	NA
6	Col Ama	Col	22	Var	8	V	Y	Y	45	53	31	6	NA	NA	NA
7	Col Ama	Col	22	Var	8	V	Y	Y	46	51	32	5	NA	NA	NA
8	Col Ama	Col	22	Var	8	V	Y	Y	50	58	29	8	21.2	27.2	0.779411765
1	Col FRI	Col FRI	12	Con	16	NV	Y	Y	53	65	50	11	23	32.9	0.699088146
2	Col FRI	Col FRI	12	Con	16	NV	Y	Y	56	72	45	9	23.6	34.7	0.680115274
3	Col FRI	Col FRI	12	Con	16	NV	Y	Y	57	74	43	9	23.1	34	0.679411765
4	Col FRI	Col FRI	12	Con	16	NV	Y	Y	57	74	43	7	20.4	33.5	0.608955224
5	Col FRI	Col FRI	12	Con	16	NV	Y	Y	59	73	64	11	25.3	43.5	0.581609195
6	Col FRI	Col FRI	12	Con	16	NV	Y	Y	60	74	54	8	19.3	32.2	0.599378882
7	Col FRI	Col FRI	12	Con	16	NV	Y	Y	60	74	59	10	23.5	38.7	0.607235142
8	Col FRI	Col FRI	12	Con	16	NV	Y	Y	62	75	42	7	25.2	34.6	0.728323699
1	Col FRI	Col FRI	12	Con	8	NV	Y	Y	90	110	61	7	18	31.8	0.566037736
2	Col FRI	Col FRI	12	Con	8	NV	Y	Y	90	109	76	7	24	40.5	0.592592593
3	Col FRI	Col FRI	12	Con	8	NV	Y	Y	91	111	69	6	19.2	33.8	0.568047337
4	Col FRI	Col FRI	12	Con	8	NV	Y	Y	96	96	70	11	26.7	44.7	0.597315436
5	Col FRI	Col FRI	12	Con	8	NV	Y	Y	96	117	64	7	22.1	38.7	0.571059432
6	Col FRI	Col FRI	12	Con	8	NV	Y	Y	97	119	71	7	23.8	40.1	0.593516209
7	Col FRI	Col FRI	12	Con	8	NV	Y	Y	98	119	63	9	20.7	33.5	0.617910448
8	Col FRI	Col FRI	12	Con	8	NV	Y	Y	103	137	59	10	22.3	36	0.619444444
1	Col FRI	Col FRI	12	Var	16	NV	Y	Y	55	68	43	9	22.4	40	0.56
2	Col FRI	Col FRI	12	Var	16	NV	Y	Y	56	68	46	9	24.7	44.1	0.560090703
3	Col FRI	Col FRI	12	Var	16	NV	Y	Y	57	70	40	10	21.2	40.2	0.527363184
4	Col FRI	Col FRI	12	Var	16	NV	Y	Y	57	71	50	9	27.4	42.5	0.644705882
5	Col FRI	Col FRI	12	Var	16	NV	Y	Y	61	77	58	11	29.2	51.2	0.5703125
6	Col FRI	Col FRI	12	Var	16	NV	Y	Y	62	74	56	8	26.8	43.7	0.613272311
7	Col FRI	Col FRI	12	Var	16	NV	Y	Y	62	75	53	9	24.8	41.3	0.600484262
8	Col FRI	Col FRI	12	Var	16	NV	Y	Y	63	78	50	9	24.8	43.8	0.566210046
1	Col FRI	Col FRI	12	Var	8	NV	Y	Y	87	98	70	8	28	44.1	0.634920635
2	Col FRI	Col FRI	12	Var	8	NV	Y	Y	93	119	63	8	23.4	42.9	0.545454545
3	Col FRI	Col FRI	12	Var	8	NV	Y	Y	93	118	61	8	25.4	42.7	0.594847775
4	Col FRI	Col FRI	12	Var	8	NV	Y	Y	95	113	68	6	24.7	39	0.633333333
5	Col FRI	Col FRI	12	Var	8	NV	Y	Y	97	120	62	7	25	41.1	0.608272506
6	Col FRI	Col FRI	12	Var	8	NV	Y	Y	98	118	61	7	18.2	33.1	0.549848943
7	Col FRI	Col FRI	12	Var	8	NV	Y	Y	101	122	66	8	22.3	36.7	0.607629428
8	Col FRI	Col FRI	12	Var	8	NV	Y	Y	102	122	66	9	21.3	33.3	0.63963964
1	Col FRI	Col FRI	22	Con	16	NV	Y	Y	44	49	35	8	23.9	38.2	0.62565445
2	Col FRI	Col FRI	22	Con	16	NV	Y	Y	44	49	40	8	NA	NA	NA
3	Col FRI	Col FRI	22	Con	16	NV	Y	Y	53	59	43	9	19.8	34	0.582352941
4	Col FRI	Col FRI	22	Con	16	NV	Y	Y	65	72	50	8	26.1	39.3	0.664122137
5	Col FRI	Col FRI	22	Con	16	NV	Y	Y	68	73	52	12	NA	NA	NA
6	Col FRI	Col FRI	22	Con	16	NV	Y	Y	70	77	50	9	19.5	28.3	0.689045936
7	Col FRI	Col FRI	22	Con	16	NV	Y	Y	73	79	58	13	NA	NA	NA
8	Col FRI	Col FRI	22	Con	16	NV	Y	Y	79	87	56	12	NA	NA	NA
1	Col FRI	Col FRI	22	Con	8	NV	Y	Y	142	149	NA	NA	NA	NA	NA
2	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
3	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
4	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
5	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
6	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
7	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
8	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
1	Col FRI	Col FRI	22	Var	16	NV	Y	Y	36	44	27	3	22	41.2	0.533980583
2	Col FRI	Col FRI	22	Var	16	NV	Y	Y	38	44	27	5	24.8	46.4	0.534482759
3	Col FRI	Col FRI	22	Var	16	NV	Y	Y	38	45	31	5	24.5	43.3	0.565819861
4	Col FRI	Col FRI	22	Var	16	NV	Y	Y	40	47	30	5	24.4	39	0.625641026
5	Col FRI	Col FRI	22	Var	16	NV	Y	Y	45	52	31	5	NA	NA	NA
6	Col FRI	Col FRI	22	Var	16	NV	Y	Y	45	53	33	5	NA	NA	NA
7	Col FRI	Col FRI	22	Var	16	NV	Y	Y	45	52	33	7	NA	NA	NA
8	Col FRI	Col FRI	22	Var	16	NV	Y	Y	46	NA	36	7	NA	NA	NA
1	Col FRI	Col FRI	22	Var	8	NV	Y	Y	78	89	46	9	NA	NA	NA
2	Col FRI	Col FRI	22	Var	8	NV	Y	Y	78	90	59	8	NA	NA	NA
3	Col FRI	Col FRI	22	Var	8	NV	Y	Y	93	105	72	8	NA	NA	NA
4	Col FRI	Col FRI	22	Var	8	NV	Y	Y	113	141	NA	NA	NA	NA	NA
1	Col FRI	Col FRI	12	Con	16	V	Y	Y	32	44	25	5	16	20.5	0.780487805
2	Col FRI	Col FRI	12	Con	16	V	Y	Y	33	46	23	8	18.4	32.2	0.571428571
3	Col FRI	Col FRI	12	Con	16	V	Y	Y	33	47	20	7	14.4	26.3	0.547528517
4	Col FRI	Col FRI	12	Con	16	V	Y	Y	33	47	21	8	17.4	32.2	0.540372671
5	Col FRI	Col FRI	12	Con	16	V	Y	Y	34	47	22	8	19.8	33.6	0.589285714
6	Col FRI	Col FRI	12	Con	16	V	Y	Y	34	45	28	9	16.1	26.5	0.60754717
7	Col FRI	Col FRI	12	Con	16	V	Y	Y	36	48	30	10	17.9	29.4	0.608843537
8	Col FRI	Col FRI	12	Con	16	V	Y	Y	36	47	31	10	20.1	36.4	0.552197802
1	Col FRI	Col FRI	12	Con	8	V	Y	Y	64	82	55	11	21.6	38	0.568421053
2	Col FRI	Col FRI	12	Con	8	V	Y	Y	65	82	51	8	15.5	29	0.534482759
3	Col FRI	Col FRI	12	Con	8	V	Y	Y	67	86	49	9	19.8	32	0.61875
4	Col FRI	Col FRI	12	Con	8	V	Y	Y	68	85	52	9	19.5	32.3	0.60371517
5	Col FRI	Col FRI	12	Con	8	V	Y	Y	77	101	54	6	20.4	38.3	0.532637076
6	Col FRI	Col FRI	12	Con	8	V	Y	Y	77	97	55	9	31	47.3	0.655391121
7	Col FRI	Col FRI	12	Con	8	V	Y	Y	80	103	51	7	20.6	33.5	0.614925373
8	Col FRI	Col FRI	12	Con	8	V	Y	Y	80	102	44	7	21.2	40	0.53
1	Col FRI	Col FRI	12	Var	16	V	Y	Y	32	45	25	7	17.2	33.5	0.513432836
2	Col FRI	Col FRI	12	Var	16	V	Y	Y	32	46	34	10	23.3	40.7	0.572481572
3	Col FRI	Col FRI	12	Var	16	V	Y	Y	33	45	27	6	19	30	0.633333333
4	Col FRI	Col FRI	12	Var	16	V	Y	Y	33	46	29	5	17	29.1	0.58419244
5	Col FRI	Col FRI	12	Var	16	V	Y	Y	34	47	26	8	19.2	37.2	0.516129032
6	Col FRI	Col FRI	12	Var	16	V	Y	Y	35	47	26	7	19.3	33.9	0.569321534
7	Col FRI	Col FRI	12	Var	16	V	Y	Y	36	45	30	6	16.9	31.4	0.538216561
8	Col FRI	Col FRI	12	Var	16	V	Y	Y	37	48	28	8	18.2	30.9	0.588996764
1	Col FRI	Col FRI	12	Var	8	V	Y	Y	63	82	48	10	18.9	36.7	0.514986376
2	Col FRI	Col FRI	12	Var	8	V	Y	Y	64	84	49	11	26	41.1	0.632603406
3	Col FRI	Col FRI	12	Var	8	V	Y	Y	64	82	49	10	19	32.5	0.584615385
4	Col FRI	Col FRI	12	Var	8	V	Y	Y	64	82	51	11	28.3	45.4	0.623348018
5	Col FRI	Col FRI	12	Var	8	V	Y	Y	68	90	51	10	21.4	40.1	0.533665835
6	Col FRI	Col FRI	12	Var	8	V	Y	Y	69	91	39	10	26.7	45.4	0.588105727
7	Col FRI	Col FRI	12	Var	8	V	Y	Y	74	94	48	11	22.7	42.5	0.534117647
8	Col FRI	Col FRI	12	Var	8	V	Y	Y	74	95	48	9	23.4	38.8	0.603092784
1	Col FRI	Col FRI	22	Con	16	V	Y	Y	20	26	16	4	NA	22.7	0
2	Col FRI	Col FRI	22	Con	16	V	Y	Y	20	27	16	4	16.6	26.3	0.631178707
3	Col FRI	Col FRI	22	Con	16	V	Y	Y	20	28	16	4	NA	NA	NA
4	Col FRI	Col FRI	22	Con	16	V	Y	Y	21	28	17	4	14	22.1	0.633484163
5	Col FRI	Col FRI	22	Con	16	V	Y	Y	21	28	18	4	NA	NA	NA
6	Col FRI	Col FRI	22	Con	16	V	Y	Y	23	28	18	5	20.3	34	0.597058824
7	Col FRI	Col FRI	22	Con	16	V	Y	Y	23	29	15	3	NA	NA	NA
8	Col FRI	Col FRI	22	Con	16	V	Y	Y	25	29	18	5	NA	NA	NA
1	Col FRI	Col FRI	22	Con	8	V	Y	Y	55	62	48	8	NA	NA	NA
2	Col FRI	Col FRI	22	Con	8	V	Y	Y	56	63	43	9	NA	NA	NA
3	Col FRI	Col FRI	22	Con	8	V	Y	Y	57	65	45	11	NA	NA	NA
4	Col FRI	Col FRI	22	Con	8	V	Y	Y	61	67	50	9	25.1	45.4	0.552863436
5	Col FRI	Col FRI	22	Con	8	V	Y	Y	61	68	51	9	NA	NA	NA
6	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	70	46	8	32.8	55.9	0.586762075
7	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	70	47	8	NA	NA	NA
8	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	68	45	12	NA	NA	NA
9	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	69	54	9	NA	NA	NA
10	Col FRI	Col FRI	22	Con	8	V	Y	Y	63	69	50	8	NA	NA	NA
11	Col FRI	Col FRI	22	Con	8	V	Y	Y	69	76	48	9	25.7	42.7	0.601873536
12	Col FRI	Col FRI	22	Con	8	V	Y	Y	70	77	51	9	24.7	38.3	0.644908616
1	Col FRI	Col FRI	22	Var	16	V	Y	Y	21	30	15	4	14.8	28.8	0.513888889
2	Col FRI	Col FRI	22	Var	16	V	Y	Y	23	30	14	3	19.1	33.7	0.566765579
3	Col FRI	Col FRI	22	Var	16	V	Y	Y	24	32	14	3	17.2	32.3	0.53250774
4	Col FRI	Col FRI	22	Var	16	V	Y	Y	24	30	13	3	18.8	39.4	0.47715736
5	Col FRI	Col FRI	22	Var	16	V	Y	Y	25	31	14	2	NA	NA	NA
6	Col FRI	Col FRI	22	Var	16	V	Y	Y	25	32	15	3	NA	NA	NA
7	Col FRI	Col FRI	22	Var	16	V	Y	Y	25	32	13	3	NA	NA	NA
8	Col FRI	Col FRI	22	Var	16	V	Y	Y	26	33	13	2	NA	NA	NA
1	Col FRI	Col FRI	22	Var	8	V	Y	Y	49	56	36	12	NA	NA	NA
2	Col FRI	Col FRI	22	Var	8	V	Y	Y	52	58	39	8	27.7	57.3	0.483420593
3	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	61	42	8	28.1	53.2	0.528195489
4	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	60	36	8	27.2	43	0.63255814
5	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	63	41	8	NA	NA	NA
6	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	60	38	9	NA	NA	NA
7	Col FRI	Col FRI	22	Var	8	V	Y	Y	56	62	34	5	27.2	50.2	0.541832669
8	Col FRI	Col FRI	22	Var	8	V	Y	Y	56	62	38	10	NA	NA	NA
1	fca-6	Ler	12	Con	16	NV	Y	Y	39	53	27	10	16.1	26	0.619230769
2	fca-6	Ler	12	Con	16	NV	Y	Y	40	53	28	11	19.2	29.2	0.657534247
3	fca-6	Ler	12	Con	16	NV	Y	Y	41	55	27	9	15.9	25.5	0.623529412
4	fca-6	Ler	12	Con	16	NV	Y	Y	41	58	34	10	19.7	35.6	0.553370787
5	fca-6	Ler	12	Con	16	NV	Y	Y	43	58	24	8	14.1	23.6	0.597457627
6	fca-6	Ler	12	Con	16	NV	Y	Y	44	59	25	10	18.3	30.8	0.594155844
7	fca-6	Ler	12	Con	16	NV	Y	Y	44	58	24	11	14.9	25.4	0.586614173
8	fca-6	Ler	12	Con	16	NV	Y	Y	45	61	26	12	17.1	27.6	0.619565217
1	fca-6	Ler	12	Con	8	NV	Y	Y	64	83	44	11	19	27.9	0.681003584
2	fca-6	Ler	12	Con	8	NV	Y	Y	66	86	42	9	18.9	25.6	0.73828125
3	fca-6	Ler	12	Con	8	NV	Y	Y	67	89	42	10	20.1	30.7	0.654723127
4	fca-6	Ler	12	Con	8	NV	Y	Y	68	89	49	10	19.4	31.3	0.619808307
5	fca-6	Ler	12	Con	8	NV	Y	Y	81	106	42	11	22.6	36.6	0.617486339
6	fca-6	Ler	12	Con	8	NV	Y	Y	83	109	46	9	21.3	32.9	0.647416413
7	fca-6	Ler	12	Con	8	NV	Y	Y	84	109	46	10	20.2	31.6	0.639240506
8	fca-6	Ler	12	Con	8	NV	Y	Y	86	108	49	12	31.2	45.4	0.68722467
1	fca-6	Ler	12	Var	16	NV	Y	Y	38	53	24	9	15.5	24.3	0.637860082
2	fca-6	Ler	12	Var	16	NV	Y	Y	39	54	24	10	17.6	29.5	0.596610169
3	fca-6	Ler	12	Var	16	NV	Y	Y	40	55	26	10	17.2	29.3	0.587030717
4	fca-6	Ler	12	Var	16	NV	Y	Y	42	56	26	10	25.5	40.6	0.628078818
5	fca-6	Ler	12	Var	16	NV	Y	Y	43	58	28	11	8.1	30.6	0.264705882
6	fca-6	Ler	12	Var	16	NV	Y	Y	43	57	27	11	18.7	31.2	0.599358974
7	fca-6	Ler	12	Var	16	NV	Y	Y	44	62	31	10	17	30	0.566666667
8	fca-6	Ler	12	Var	16	NV	Y	Y	45	57	21	12	16.8	25.4	0.661417323
