genotype,background,temperature,fluctuation,day.length,vernalization,survival.bolt,bolt,days.to.bolt,days.to.flower,rosette.leaf.num,cauline.leaf.num,blade.length.mm,total.leaf.length.mm,blade.ratio
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,84,107,60,6,20.6,34.5,0.597101449
prmt5 FRI,Col FRI,12,Var,8,V,Y,Y,88,112,64,9,22.7,40.6,0.5591133
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,39,45,38,9,18.7,31.2,0.599358974
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,41,46,39,10,19.4,32,0.60625
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,43,48,39,9,20.5,31.6,0.648734177
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,44,50,37,7,19.5,29.5,0.661016949
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,44,49,44,9,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,48,55,45,11,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,53,58,51,9,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,16,V,Y,Y,57,64,48,12,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,84,90,63,9,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,85,92,59,11,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,88,99,63,11,21.9,36.6,0.598360656
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,89,99,49,10,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,91,99,68,10,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,104,118,37,4,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,105,118,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,113,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Con,8,V,Y,Y,122,NA,NA,NA,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,26,34,25,4,20.1,35.7,0.56302521
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,26,32,22,5,18.4,33.6,0.547619048
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,26,33,23,5,17.7,31.4,0.563694268
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,28,33,25,3,22,33.3,0.660660661
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,28,36,18,3,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,29,36,21,4,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,31,39,18,3,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,16,V,Y,Y,36,43,24,3,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,54,61,47,7,25.6,45.8,0.558951965
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,54,62,47,9,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,55,65,52,9,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,57,68,52,11,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,58,67,43,10,28.4,43.9,0.646924829
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,58,68,52,10,NA,NA,NA
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,59,66,48,10,29.9,49.5,0.604040404
prmt5 FRI,Col FRI,22,Var,8,V,Y,Y,63,70,49,10,24.2,39.6,0.611111111
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,59,71,53,9,21.9,32,0.684375
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,61,75,49,10,24.2,36.5,0.663013699
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,62,75,38,7,23.7,39.2,0.604591837
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,62,78,61,11,22.2,39.9,0.556390977
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,63,76,63,11,24.9,45.2,0.550884956
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,64,79,54,11,23.2,39.3,0.590330789
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,65,81,46,9,24.1,38.6,0.624352332
vin3-4 FRI,Col FRI,12,Con,16,NV,Y,Y,66,83,52,7,20.2,32.2,0.627329193
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,118,143,90,5,19.2,30.6,0.62745098
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,123,144,92,6,20.2,40.8,0.495098039
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,134,153,94,6,17.9,34,0.526470588
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,141,176,106,11,28.6,52.8,0.541666667
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,142,162,90,9,18.9,33.7,0.560830861
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,146,NA,NA,NA,20.8,37.6,0.553191489
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,159,182,112,5,20.4,40.9,0.498777506
vin3-4 FRI,Col FRI,12,Con,8,NV,Y,Y,159,182,104,7,20.2,37.3,0.54155496
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,59,73,43,9,22.6,39.4,0.573604061
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,63,78,51,8,27.5,41.6,0.661057692
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,63,78,54,8,26.8,36.1,0.742382271
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,63,78,59,7,33.7,55.7,0.60502693
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,64,NA,NA,NA,26.9,39.7,0.677581864
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,64,78,51,10,22.8,39.7,0.574307305
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,66,81,56,8,29.3,44.1,0.664399093
vin3-4 FRI,Col FRI,12,Var,16,NV,Y,Y,69,82,57,8,26.1,41.9,0.622911695
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,104,129,72,5,24.1,38.5,0.625974026
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,109,132,82,7,28.4,39.6,0.717171717
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,122,155,85,5,25,43.2,0.578703704
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,123,146,83,5,24.8,39.2,0.632653061
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,126,146,78,4,18.9,33.2,0.569277108
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,134,157,87,6,23,40.8,0.56372549
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,134,159,80,5,20,38.2,0.523560209
vin3-4 FRI,Col FRI,12,Var,8,NV,Y,Y,151,174,93,9,22.7,44.3,0.51241535
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,45,50,33,5,22.9,35.3,0.648725212
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,58,64,54,10,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,63,69,53,11,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,64,70,52,9,22.1,28,0.789285714
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,65,70,55,12,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,83,92,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,86,93,53,10,21.4,31.7,0.675078864
vin3-4 FRI,Col FRI,22,Con,16,NV,Y,Y,88,93,71,10,26.9,35.2,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,Y,131,134,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,Y,135,149,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,35,42,29,6,25.1,45.8,0.548034934
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,35,42,27,5,25.1,47.6,0.527310924
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,36,44,28,5,24.3,44.6,0.544843049
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,39,47,30,5,24.3,44.1,0.551020408
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,41,48,35,4,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,42,48,37,6,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,45,53,39,5,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,NV,Y,Y,45,50,39,6,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,NV,Y,Y,74,81,57,12,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,NV,Y,Y,80,91,69,10,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,NV,Y,Y,93,102,73,12,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,NV,Y,Y,130,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,53,66,47,11,21.3,39.7,0.536523929
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,54,68,52,9,19.4,36.2,0.535911602
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,54,66,53,8,20,37,0.540540541
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,55,69,51,10,24.2,43,0.562790698
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,55,69,56,9,24,45.4,0.528634361
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,56,70,49,8,21.3,36.1,0.590027701
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,56,69,52,9,18,30.9,0.582524272
vin3-4 FRI,Col FRI,12,Con,16,V,Y,Y,58,71,52,8,12.8,32.5,0.393846154
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,104,127,78,7,20.2,33.6,0.601190476
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,110,136,86,10,29.5,47.2,0.625
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,111,138,89,7,23.2,41,0.565853659
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,116,NA,NA,NA,20.5,37.1,0.552560647
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,119,145,83,8,19.8,33.4,0.592814371
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,126,154,85,9,24.6,39.6,0.621212121
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,133,163,99,7,NA,NA,NA
vin3-4 FRI,Col FRI,12,Con,8,V,Y,Y,133,159,89,10,19.7,35,0.562857143
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,54,67,54,9,23.2,40.3,0.575682382
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,55,68,55,8,24.4,33.4,0.730538922
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,56,69,50,8,22.4,38.1,0.587926509
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,56,71,52,10,22.7,41.1,0.552311436
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,56,69,54,9,29.4,41.5,0.708433735
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,57,69,55,8,20.5,34.5,0.594202899
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,57,71,52,8,22.2,38.9,0.570694087
vin3-4 FRI,Col FRI,12,Var,16,V,Y,Y,62,74,46,8,23.5,39.2,0.599489796
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,98,122,79,9,31.2,52.7,0.592030361
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,101,123,68,9,22.8,40.2,0.567164179
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,110,131,80,6,24.3,40.6,0.598522167
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,110,132,77,5,22,37.3,0.589812332
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,116,142,84,7,20.6,35.7,0.577030812
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,123,147,69,8,23.3,40.7,0.572481572
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,132,153,87,4,18.1,40.7,0.444717445
vin3-4 FRI,Col FRI,12,Var,8,V,Y,Y,132,157,88,5,20.7,39.7,0.521410579
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,39,NA,35,7,22.5,34.9,0.64469914
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,60,65,47,8,19.3,32.9,0.58662614
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,62,70,47,8,22.1,33.9,0.651917404
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,65,70,53,11,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,72,79,58,13,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,76,83,61,12,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,78,83,54,11,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,16,V,Y,Y,81,88,55,5,24.5,44.1,0.555555556
vin3-4 FRI,Col FRI,22,Con,8,V,Y,Y,151,161,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Con,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,35,43,34,7,25.9,46.9,0.552238806
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,39,45,34,7,23.6,42.6,0.55399061
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,40,45,35,7,23.9,44.4,0.538288288
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,41,47,32,5,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,42,47,35,6,24.9,48.5,0.513402062
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,44,52,33,6,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,45,52,36,6,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,16,V,Y,Y,48,55,38,8,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,V,Y,Y,83,97,56,7,27.5,52.3,0.52581262
vin3-4 FRI,Col FRI,22,Var,8,V,Y,Y,98,112,70,6,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,V,Y,Y,118,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,V,Y,Y,132,NA,NA,NA,NA,NA,NA
vin3-4 FRI,Col FRI,22,Var,8,V,Y,N,162,NA,NA,NA,NA,NA,NA
